id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano,mes,dia,fim_de_semana,estacao,velocidade_estim_kmh
298282,2020-07-30,quinta-feira,04:15:00,RJ,116,66.0,TERESOPOLIS,Pista Escorregadia,Tombamento,Com Vitimas Feridas,Plena Noite,Crescente,Chuva,Simples,Curva,Sim,1,0,1,0,0,0,1,1,-22.28530513,-42.9306046,SPRF-RJ,DEL04-RJ,UOP01-DEL04-RJ,2020,7,30,False,Inverno,30
371175,2021-07-17,sabado,12:10:00,SC,101,119.2,ITAJAI,Trafegar com motocicleta (ou similar) entre as faixas,Colisao traseira,Com Vitimas Feridas,Pleno dia,Decrescente,Ceu Claro,Multipla,Reta,Sim,2,0,1,0,1,0,1,2,-26.9043179,-48.71555481,SPRF-SC,DEL04-SC,UOP04-DEL04-SC,2021,7,17,True,Inverno,30
512677,2023-03-25,sabado,03:35:00,MG,40,646.1,CRISTIANO OTONI,Condutor deixou de manter distancia do veiculo da frente,Colisao traseira,Com Vitimas Feridas,Plena Noite,Crescente,Ceu Claro,Simples,Reta,Nao,3,0,1,0,1,1,1,3,-20.797754,-43.809907,SPRF-MG,DEL05-MG,UOP02-DEL05-MG,2023,3,25,True,Outono,30
397871,2021-11-25,quinta-feira,15:40:00,GO,50,273.0,CATALAO,Velocidade Incompativel,Tombamento,Com Vitimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Viaduto,Sim,2,0,1,0,0,3,1,4,-18.1302,-47.9047,SPRF-GO,DEL06-GO,UOP01-DEL06-GO,2021,11,25,False,Primavera,60
493066,2022-12-16,sexta-feira,04:40:00,PE,232,41.0,VITORIA DE SANTO ANTAO,Manobra de mudanca de faixa,Colisao lateral mesmo sentido,Com Vitimas Feridas,Amanhecer,Decrescente,Ceu Claro,Dupla,Reta,Nao,3,0,1,0,1,1,1,3,-8.11394893,-35.243303,SPRF-PE,DEL01-PE,UOP01-DEL01-PE,2022,12,16,False,Primavera,50
528666,2023-06-10,sabado,21:00:00,BA,415,29.5,ILHEUS,Ausencia de reacao do condutor,Saida de leito carrocavel,Com Vitimas Feridas,Plena Noite,Crescente,Garoa/Chuvisco,Dupla,Curva,Nao,2,0,2,0,0,0,2,1,-14.8482,-39.281986,SPRF-BA,DEL05-BA,UOP01-DEL05-BA,2023,6,10,True,Outono,30
560751,2023-11-12,domingo,00:40:00,BA,110,189.0,RIBEIRA DO AMPARO,Ausencia de reacao do condutor,Saida de leito carrocavel,Com Vitimas Feridas,Plena Noite,Decrescente,Ceu Claro,Simples,Curva,Nao,3,0,3,0,0,0,3,1,-11.011584,-38.51495706,SPRF-BA,DEL07-BA,UOP02-DEL07-BA,2023,11,12,True,Primavera,30
367500,2021-07-01,quinta-feira,04:51:00,PR,277,522.0,GUARANIACU,Condutor Dormindo,Saida de leito carrocavel,Com Vitimas Feridas,Plena Noite,Decrescente,Vento,Simples,Curva,Nao,2,0,1,0,0,1,1,2,-25.11018112,-52.85167802,SPRF-PR,DEL04-PR,UOP01-DEL04-PR,2021,7,1,False,Inverno,30
329146,2020-12-20,domingo,06:25:00,RJ,101,205.0,CASIMIRO DE ABREU,Falta de Atencao a Conducao,Colisao transversal,Com Vitimas Feridas,Amanhecer,Crescente,Sol,Simples,Reta,Sim,3,0,1,0,2,0,1,2,-22.475714,-42.19184,SPRF-RJ,DEL08-RJ,UOP04-DEL08-RJ,2020,12,20,True,Primavera,40
500533,2023-01-21,sabado,07:40:00,GO,414,439.0,ANAPOLIS,Acessar a via sem observar a presenca dos outros veiculos,Colisao transversal,Com Vitimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Intersecao de Vias;Reta,Sim,2,0,1,0,1,0,1,2,-16.28128823,-48.94258908,SPRF-GO,DEL02-GO,UOP01-DEL02-GO,2023,1,21,True,Verão,30
273649,2020-03-06,sexta-feira,16:35:00,SC,282,368.7,ERVAL VELHO,Desobediencia as normas de transito pelo condutor,Colisao transversal,Com Vitimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Sim,6,0,1,0,5,0,1,3,-27.283747,-51.434963,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2020,3,6,False,Verão,50
328482,2020-12-17,quinta-feira,13:21:00,PR,376,622.0,SAO JOSE DOS PINHAIS,Velocidade Incompativel,Colisao lateral,Sem Vitimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Nao,5,0,0,0,5,0,0,4,-25.629188,-49.164267,SPRF-PR,DEL01-PR,UOP04-DEL01-PR,2020,12,17,False,Primavera,50
492971,2022-12-15,quinta-feira,09:03:00,RS,470,261.0,SALVADOR DO SUL,Reacao tardia ou ineficiente do condutor,Tombamento,Sem Vitimas,Pleno dia,Crescente,Sol,Simples,Reta;Declive,Nao,2,0,0,0,1,1,0,2,-29.46783998,-51.48973889,SPRF-RS,DEL06-RS,UOP01-DEL06-RS,2022,12,15,False,Primavera,30
273058,2020-03-03,terca-feira,14:50:00,PB,230,165.5,CAMPINA GRANDE,Velocidade Incompativel,Colisao traseira,Com Vitimas Fatais,Pleno dia,Crescente,Ceu Claro,Simples,Curva,Nao,2,1,0,0,1,0,0,2,-7.20525951,-35.95125675,SPRF-PB,DEL02-PB,UOP02-DEL02-PB,2020,3,3,False,Verão,60
